# z, f_OH, f_Fe_mixed (Z_cutoff_OH=0.6; Z_cutoff_Fe=0.2)
5.040000000000000036e+00,9.341243699504090392e-01,9.741842596637468876e-01
5.099999999999999645e+00,9.423408047924104469e-01,9.784345364927582445e-01
5.160000000000000142e+00,9.498790756448539652e-01,9.821500743640848574e-01
5.219999999999999751e+00,9.567496214409365596e-01,9.853696872433418408e-01
5.279999999999999361e+00,9.629680509010442035e-01,9.881338532646433137e-01
5.339999999999999858e+00,9.685548420605649689e-01,9.904838720274674602e-01
5.399999999999999467e+00,9.735349563391363370e-01,9.924610632857024939e-01
5.459999999999999964e+00,9.779373815933306568e-01,9.941060542808054512e-01
5.519999999999999574e+00,9.817946058386451957e-01,9.954581842340098907e-01
5.580000000000000071e+00,9.851420410082140089e-01,9.965549958838120226e-01
5.639999999999999680e+00,9.880174041074044622e-01,9.974318768267105284e-01
5.700000000000000178e+00,9.904600693514413745e-01,9.981217651911900024e-01
5.759999999999999787e+00,9.925104012602238290e-01,9.986549463036784591e-01
5.819999999999999396e+00,9.942090705031692011e-01,9.990589097833943999e-01
5.879999999999999893e+00,9.955963355946103599e-01,9.993582437234613813e-01
5.939999999999999503e+00,9.967112421038837322e-01,9.995745662481031468e-01
6.000000000000000000e+00,9.975906972214569901e-01,9.997264983936703375e-01
