tpl_idx,name,z_catalog,M_peak_r,t_peak_r,decline_rate_r,width_r,duration_r,M_peak_u,M_peak_g,M_peak_i,M_peak_z,g_minus_r,r_minus_i,M_peak_y
39,2018bym,0.274,-22.448486595903763,3.7633599277458365,0.02027597433814157,33.70895249564017,125.37364787853767,,-22.517291714247207,-22.14293830905323,-22.033905026971556,-0.0688051183434446,-0.30554828685053437,
40,2018cxa,0.19,-21.51762113475041,0.23022907793530686,0.05765593909794682,18.993898929433534,53.18291700241389,,-21.670971657062793,-20.997283268337675,,-0.15335052231238322,-0.5203378664127349,
41,2018don,0.0734,-19.128959811277586,0.25523812441123084,0.022158327446438152,46.32571958007918,148.8038265299581,,-18.35057926423974,-19.39065597501604,-19.480345735520913,0.7783805470378447,0.2616961637384527,
42,2018fcg,0.1011,-20.366052096705282,0.24881718530834182,0.05327640021825376,16.421934230152324,145.06041903301877,,-20.543193830565425,-20.20945318480686,,-0.1771417338601431,-0.15659891189842057,
43,2018fd,0.263,-20.9896753843116,0.2169220924331078,0.00091425659728913,126.46557988698099,126.46557988698099,,-20.623832367978654,-21.00885140753667,,0.3658430163329456,0.019176023225071503,
44,2018ffj,0.234,-22.390911691686277,3.885348904334032,0.0210190478478935,35.41218001376289,129.4376234985875,,-22.769236551990442,-22.245177521045264,,-0.3783248603041649,-0.14573417064101335,
45,2018ffs,0.141,-21.03783585645388,0.24011621625154703,0.025989269734920467,29.054062166086464,139.98775407296844,,-21.007133412887196,-20.893346429450848,,0.03070244356668539,-0.1444894270030339,
46,2018gbw,0.3454,-22.46742565831274,0.20363654135797174,0.03298082462138869,15.680013684374543,118.7201036102698,,-22.547275801237223,-21.711808153966288,,-0.07985014292448156,-0.7556175043464535,
47,2018gft,0.232,-22.463042378460965,0.22238035936933048,0.01000177764844195,56.87377690802268,129.64774951076052,,-22.61798093923976,-22.24203108254504,-22.080963590982282,-0.15493856077879542,-0.2210112959159254,
48,2018gkz,0.2405,-22.110541361705252,0.2208565922958607,0.0024488721567251354,83.81507677526736,128.75939330693834,-20.831264776687835,-21.964281065536362,-22.071666248381316,-21.850260496805447,0.14626029616889014,-0.038875113323936006,
49,2018hpq,0.124,-20.257855122063436,4.935894310924158,0.009788247881750057,53.62453078535208,142.10500658118946,,-20.14662499097193,-19.632962622818198,,0.11123013109150648,-0.624892499245238,
50,2018hsf,0.119,-19.733844959316322,0.2448369997703442,0.02596381248691635,34.33838921737301,142.73997086439408,,-19.66198086078948,,,0.0718640985268415,,
51,2018hti,0.0612,-22.0010301812598,1.678120917651158,0.007094306253488271,61.057784157501814,150.51453769059273,-23.236890501405455,-22.301693818615803,-21.818680438427165,-21.608983020901302,-0.30066363735600277,-0.18234974283263483,
52,2018ibb,0.166,-21.919193691073115,0.23496792688080204,0.008941262696590504,90.46265184802301,136.9863013698602,,-22.025218918463448,-21.63968790004362,-21.37437433285798,-0.10602522739033304,-0.27950579102949646,
53,2018jfo,0.163,-20.80549534994412,0.23557403503268715,0.03871751190755727,20.73051508262622,137.33966242240496,,-20.95742360715606,,,-0.1519282572119387,,
54,2018kyt,0.108,-20.26357289063021,2.2872261510306564,0.033189618351292145,26.519459967355623,144.15706443795756,-20.148889906121482,-20.242065542719867,-20.1521524298334,-19.933760364839944,0.02150734791034381,-0.11142046079681123,
55,2018lfd,0.2686,-22.276951736021743,0.2159645299881879,0.032639947865964976,25.53780567079207,125.9073209815994,,-22.41564871817053,-22.00379484858066,,-0.13869698214878667,-0.2731568874410826,
56,2018lfe,0.35,-22.074442883148894,0.20294266869852973,0.0341265370157642,24.55606291222567,118.31557584981998,,-22.16583566645221,-21.473304078221773,,-0.09139278330331635,-0.6011388049271211,
57,2018lzv,0.434,-22.708417290296502,0.191054813628323,0.014013664419575281,46.23526489749604,111.38495634397279,,-22.700287908443517,-22.006078665552973,,0.008129381852985063,-0.702338624743529,
58,2018lzw,0.3198,-22.12439947376833,0.20758645457115865,0.011049292240365896,52.519373005869156,121.02290301353008,,-22.137162124927812,-21.788499498668134,,-0.012762651159480498,-0.3358999751001974,
59,2018lzx,0.4373,-22.532609994090134,0.1906161571996209,0.006912720864609436,91.20983121892263,111.12921964604256,,-22.511507417300496,-22.383519104362257,-22.236354506740174,0.02110257678963734,-0.14909088972787643,
60,2019aamp,0.404,-22.340920204715914,0.195137181440894,0.024067427007754008,30.587753190488304,72.98130585801336,-21.12076818522092,-22.297221327076567,-22.289229174642983,-22.183975903446225,0.04369887763934699,-0.051691030072930744,
61,2019aamq,0.386,-22.137933260805706,0.19767143055051598,0.012195435463447585,42.40052185257384,115.24244400956492,,-21.95827047100195,-21.905998491920037,,0.17966278980375705,-0.23193476888566877,
62,2019aamr,0.42,-21.72887143553334,0.19293845263592618,0.025837070076617525,29.181940960829003,112.48311788539225,,-21.662931282921733,-21.855728993492043,,0.06594015261160635,0.12685755795870435,
63,2019aams,0.636,-22.805709433995005,0.1674649161020875,0.06848124508974827,17.50008373245689,97.6320460863429,,-22.67014470661085,-22.72963555224457,,0.13556472738415692,-0.07607388175043539,
64,2019aamt,0.2138,-21.039756461952035,0.22571478228951652,0.06007701126967141,20.48361649252336,38.484370379898,,-21.226008537449587,,,-0.18625207549755274,,
65,2019aamu,0.259,-21.09373255852286,1.4144733262997686,0.014323010536137038,43.087033631820624,126.86737680481096,,-20.82161989871805,,,0.27211265980480803,,
66,2019aamv,0.3996,-21.795328012464967,0.19575064500072534,0.012891677233994736,54.90805592204063,114.12262603405043,,-21.790072100628006,-21.68671683272656,,0.005255911836961502,-0.10861117973840706,
67,2019aamw,0.22,-20.746332816125367,0.22456770716640587,0.015004300154952894,56.815629912414835,130.92297327644013,,-20.44760797771235,,,0.29872483841301545,,
68,2019aamx,0.41,-21.921006786613802,0.19430681045603912,0.02131757737864505,33.663654911099826,113.2808704945085,,-21.636415978260494,-21.91184342151356,,0.2845908083533075,-0.009163365100242515,
69,2019bgu,0.148,-20.67039581134354,0.23865209298172055,0.048844645068737536,20.34509092644291,139.13417020666986,,-20.538596571245655,-20.547511612484847,-20.36185000870637,0.1317992400978838,-0.12288419885869217,
70,2019cca,0.4103,-22.373945906458438,0.19426547737574643,0.03187229310483101,25.108812950509545,113.25677330869814,,-22.375556582173502,-22.218082025358353,-22.150406305069843,-0.0016106757150637918,-0.15586388110008542,
71,2019cdt,0.153,-21.06450479373338,0.23761717497225945,0.06910264519718373,13.722391854479179,138.5308130071613,,-20.863966709876383,-20.975586776068337,-20.822394687692196,0.20053808385699767,-0.08891801766504415,
72,2019cwu,0.32,-21.48408392164778,0.20755500207804178,0.023483864069105815,30.821917808217137,121.00456621004317,-20.861673065914832,-21.477193050054076,-21.478140359476505,,0.006890871593704162,-0.0059435621712751185,
73,2019dgr,0.3815,-22.252883373292924,0.19831531143178804,0.03748657876376826,19.633215831510014,115.61782656334202,,-22.222972377973758,-22.339417613274456,-22.19423935104181,0.029910995319166744,0.08653423998153187,
74,2019dlr,0.26,-21.35554543594792,0.2174385736055676,0.03361331057132515,23.320287018912726,126.76668841052143,-20.16610965104732,-21.41731699330802,-21.110745916892007,,-0.06177155736009965,-0.24479951905591335,
75,2019dwa,0.082,-19.272965180331976,0.25320942952219516,0.04248808016091433,22.28242979768419,147.6210974096645,,-19.038559112833468,,,0.234406067498508,,
76,2019enz,0.255,,,,,,,,,,,,
77,2019eot,0.3057,-22.497338049492534,0.20982814026423768,0.023377636207153163,30.58245144314068,122.32980577257945,-22.061890571897923,-22.613316664362177,-22.22995714660385,-22.057762405572895,-0.11597861486964334,-0.2673809028886822,
78,2019gam,0.1235,-19.963850190464143,0.9144612908532034,0.005149272884370667,69.07230950247077,142.16824868469692,,-19.67783109568132,-19.78111915430976,,0.28601909478282295,-0.18273103615438302,
79,2019gfm,0.18167,-21.055192608551227,0.23185204223092332,0.0659273541472288,17.21501413543517,135.16974061900277,,-21.23414705274318,-20.9688553123495,-20.71637193207036,-0.17895444419195172,-0.08633729620172659,
80,2019gqi,0.3642,-21.866149531500085,0.20083023218224244,0.029206182567944754,27.614156924724995,117.0840253608393,,-21.77145570935093,-21.798883923730386,,0.09469382214915356,-0.06726560776969848,
81,2019hge,0.0866,-20.023631128939265,0.252137495622138,0.027082414404729697,42.29606489009973,146.99615994593867,-19.419038769112294,-20.02977688582675,-19.93973186196038,-19.585526616630787,-0.0061457568874843105,-0.08389926697888583,
82,2019hno,0.26,-21.353458390493486,0.8153946510107729,0.042259346621404084,22.722330941507522,84.90976299195493,,-21.406630674428058,-21.163745981564762,,-0.05317228393457185,-0.18971240892872387,
83,2019ieh,0.032,-19.31530631213697,0.995539980885246,0.0631985816981177,16.06137835828714,95.63820749707695,,-19.319187624417253,,,-0.0038813122802849875,,
84,2019itq,0.481,-21.93069751231875,3.237353509755703,0.02172664908674658,35.102161627186504,72.74795815489114,,-22.06770975673265,-21.631019153368396,,-0.13701224441389925,-0.29967835895035577,
85,2019J,0.1346,-20.130467384762966,10.202135083511658,0.020288860463366695,45.15501208560319,140.7773906198281,,-20.0444763535003,-20.03934635853353,-19.894866551506762,0.08599103126266527,-0.09112102622943752,
86,2019kcy,0.399,-22.588698213294826,0.7343797428688877,0.011364538976795376,46.85342759505272,114.1715706913917,,-22.696905746923694,-22.477915367963835,,-0.10820753362886748,-0.11078284533099136,
87,2019kwq,0.49,-22.48185945715101,0.18387423002886924,0.015482212670263723,45.00321779902493,107.19867610554161,-21.663721939046013,-22.54961130470382,-22.380103673639564,-22.00578738506499,-0.06775184755280961,-0.10175578351144665,
88,2019kws,0.1977,-20.431689396173386,0.22874893774986654,0.022437138562756077,41.5179322010996,133.36063070656843,,-20.40005141939434,-20.22513701005636,,0.03163797677904512,-0.20655238611702487,
89,2019kwt,0.3562,-22.252991552589297,0.20201489658089894,0.017617655532152804,36.1101627633971,117.77468470524772,,-22.097666005758448,-22.17868587934288,-22.212296091286497,0.15532554683084854,-0.07430567324641757,
90,2019kwu,0.6,-22.779795297430763,0.17123287671438447,0.05870940888080498,20.248287671229264,55.09417808219041,,-22.822594445387658,-22.649623777627564,,-0.04279914795689521,-0.13017151980319852,
91,2019lsq,0.1295,-20.980013064253214,0.9096035947530535,0.025036924486035398,42.69072871375706,141.41303886432667,,-21.20798968812499,-20.77168434643842,-20.41078797932294,-0.22797662387177553,-0.20832871781479412,
92,2019neq,0.1059,-21.421970270400298,0.2477372300777784,0.03402576953536934,24.525985777403996,144.4308051336079,-21.530181503278804,-21.554176286132538,-21.339086818850905,-20.975482076119285,-0.13220601573224045,-0.08288345154939236,
93,2019nhs,0.189,-21.544838257251364,0.23042271046510945,0.04193628347366437,22.178185881996,134.3364401995433,-21.69295534870625,-21.679112536671024,-21.378967981818725,-21.23536444510613,-0.1342742794196603,-0.16587027543263844,
94,2019obk,0.1656,-20.180620620181312,0.2350485610355312,0.03868144186730585,21.330656913713845,137.03331108206672,,-20.07655126585059,-19.678848832303537,,0.10406935433072206,-0.5017717878777752,
95,2019otl,0.514,-22.983700359146873,0.18095944699010247,0.009011080327113242,49.26620944246309,105.00171911474185,,-22.98304413804824,-22.975677385144,-22.87541803322487,0.0006562210986338357,-0.00802297400287344,
96,2019pud,0.1136,-21.010711105643622,0.24602424815285126,0.048747305303427094,15.56103369547673,143.43213667138738,,-20.990870558958246,,,0.01984054668537638,,
97,2019pvs,0.167,-19.908839856318334,0.23476658332734804,0.0341527657126242,25.178716061551015,136.86891807819794,,-19.41570816088023,-19.8143042286183,,0.4931316954381053,-0.09453562770003288,
98,2019qgk,0.3468,-21.95831236953231,0.2034248609615497,0.01561152971634795,36.92161226407558,65.45194901359122,,-21.95981949609619,-21.911024498283716,,-0.001507126563879524,-0.04728787124859579,
99,2019sgg,0.5726,-22.82520516630422,1.6115010653325494,0.02726085207268851,31.62026414679956,101.56812119881532,,-22.917730429607456,-22.652948647744985,-22.373559031780307,-0.09252526330323718,-0.17225651855923374,
100,2019sgh,0.344,-21.74374856833351,0.20384866275521962,0.013364096840529234,33.07444553163242,118.84377038486384,,-21.86216339537449,-21.58181677129305,,-0.11841482704098283,-0.16193179704045946,
101,2019szu,0.212,-21.344490775043923,1.4693250146958818,0.003052252890981867,91.3807134138041,131.78715131786882,,-21.61771999261797,-20.955875064003916,-21.139315841102334,-0.2732292175740483,-0.38861571104000703,
102,2019ujb,0.2008,-21.293709316887373,0.2281583966880539,0.016930802903026673,39.52844222572514,133.01634526753577,,-21.387804478275466,-21.12003100978784,,-0.09409516138809337,-0.17367830709953225,
103,2019unb,0.0635,-20.261541530798944,1.6744916951682265,0.04874524423410242,18.419408646816283,139.5624424393422,-19.879584299412503,-20.23953800105343,-20.2770840981554,-19.834255307676738,0.022003529745514783,0.015542567356455095,
104,2019une,0.1666,-20.05748665480335,0.23484707932711738,0.010955872789754718,49.08303957877503,136.9158472460629,,-19.826746204083957,-20.062336802618987,,0.23074045071939153,0.004850147815638195,
105,2019vvc,0.3314,-22.439464104295144,3.60111202339507,0.018361582028251243,44.139344515297694,119.96847483645561,,-22.48363716142143,-21.92475687524677,,-0.04417305712628661,-0.5147072290483727,
106,2019xaq,0.2,-21.624677907131606,0.22831050228584598,0.040674423976587534,21.974885844744374,133.1050228310475,,-21.700628481668907,-20.900822328799357,,-0.07595057453730192,-0.7238555783322482,
107,2019xdy,0.2206,-20.991999798736913,0.2244573183213298,0.02204602272843834,32.0973965195627,130.8586165797616,,-20.61436451562951,,,0.37763528310740213,,
108,2019zbv,0.3785,-22.45836809378463,0.1987469007929018,0.014553620748608572,40.99154828804381,115.86944316086833,-21.29936937022911,-22.498442208498528,-22.320576904750517,-21.98226528506899,-0.04007411471389588,-0.13779118903411458,
109,2019zeu,0.39,-22.01122713636884,0.19710259190144974,0.02268139349942906,30.353799152456844,114.91081107716329,,-22.017281639049614,-21.871389857345136,,-0.0060545026807723445,-0.13983727902370546,
110,2020abjc,0.219,-21.207963022136894,0.8428197377141705,0.021118958806976,38.32020407474996,131.03037522334452,,-21.35161836448873,-20.83833527628393,-20.327172385694254,-0.14365534235183475,-0.3696277458529629,
111,2020abjx,0.39,-22.24863663941287,4.533359613680999,0.014232483780170307,50.408987878189876,114.91081107716329,,-22.35252412714447,-21.445195811204968,,-0.10388748773160117,-0.8034408282079006,
112,2020adkm,0.226,-22.25892566128583,0.22346868086705968,0.00802454379350597,62.68296498245357,130.28224094392903,,-22.480404896942378,-22.030499244025574,,-0.22147923565654892,-0.22842641726025548,
113,2020aewh,0.345,-22.10745907151553,0.20369710241116368,0.0065726845216550886,75.06238223760771,118.75541070428028,,-22.05188598393947,-21.585860163275953,,0.05557308757606094,-0.5215989082395787,
114,2020afag,0.3815,-22.08682820442436,0.19831531143178804,0.02921958104844058,25.08688689581835,115.61782656334202,,-22.08355106821039,-21.419209347016,,0.003277136213970522,-0.6676188574083604,
115,2020afah,0.3754,-22.306672020541008,0.19919485440091259,0.014006732876338543,42.179510418886714,116.13060011433545,,-22.073400268100077,-22.0570394877119,,0.23327175244093112,-0.24963253282910713,
116,2020ank,0.2485,-22.048798217807626,0.822905294572346,0.03831658294961039,24.138555307463253,127.93434312956106,-22.742394491682468,-22.10401325807859,-22.250018046542696,-22.091579019903847,-0.05521504027096569,0.20121982873506994,
117,2020aup,0.31,-21.86275653636725,0.20913939140688179,0.034580934948226526,24.73073303356246,121.92826518874578,,-22.015545777617476,,,-0.15278924125022542,,
118,2020auv,0.28,-22.132134304035148,0.2140410958929806,0.0448929364461824,21.778681506845032,124.78595890410702,-20.11100007955257,-22.26550726462494,-21.775874727019836,-21.503079703593265,-0.1333729605897922,-0.35625957701531163,
119,2020dlb,0.398,-23.02567952218796,0.1959746800736875,0.0403059969851396,22.63507554823767,114.25323848158581,,-23.06412046458199,-22.868912568349835,-22.644138590351915,-0.038440942394029065,-0.156766953838126,
120,2020exj,0.1216,-20.25758070663277,0.24426943896488515,0.04446961692952675,20.82396967150184,142.40908291481543,-18.232442708297306,-20.38320771841714,-20.067521032122,-19.699195908406494,-0.12562701178437052,-0.19005967451077055,
121,2020fvm,0.2428,-21.674586134986864,0.22044786187883422,0.014304015451805888,37.586360449887515,128.52110347381478,-20.693266969559257,-21.67967612701672,-21.428695291475396,-21.409429729956624,-0.005089992029855495,-0.24589084351146795,
122,2020fyq,0.1765,-20.148474356859662,1.513660788619982,0.01670732408750216,49.310411075339395,135.76372919443858,,-19.87457066331725,-20.106673147888195,,0.27390369354241173,-0.04180120897146722,
123,2020htd,0.3515,-21.64780717206698,0.7601903516637617,0.019731921651169125,36.79321302053791,118.1842600053696,,-21.624105893182662,-21.445652797365653,,0.02370127888431739,-0.20215437470132613,
124,2020iyj,0.369,-22.14267821582722,4.6028998268930525,0.019206690833787878,40.725657164010634,116.67350430771147,,-22.106553535674024,-21.603302925779417,,0.03612468015319692,-0.5393752900478042,
125,2020jii,0.396,-22.36797494977621,0.19625544609098508,0.03236602287838763,25.36601640695101,114.41692506966834,-22.069639412818344,-22.326247365467093,-22.177360587426936,,0.04172758430911827,-0.19061436234927598,
126,2020kox,0.456,-22.262886732587337,0.1881679963894335,0.008385551419543854,65.71767273821884,109.70194189372046,,-22.470032601128363,,,-0.20714586854102635,,
127,2020myh,0.283,-21.577404384903318,0.21354061008808664,0.02999010024900871,27.600123853549192,124.49417567985736,,-21.52120008521299,,,0.056204299690328696,,
128,2020onb,0.153,-21.15530726681703,0.23761717497225945,0.028060189135915306,28.098230940127337,138.5308130071613,,-21.112122652232934,-21.090330654133794,,0.043184614584095726,-0.0649766126832354,
129,2020qef,0.1831,-20.31958927904543,0.8683942695237713,0.03740395186815149,22.28878625111423,135.00636243534527,,-20.201255522789015,-20.094463714061664,-19.88151477533478,0.11833375625641551,-0.22512556498376668,
130,2020qlb,0.1585,-22.389385337021736,1.5371790399753202,0.008128732061996678,61.78277295274262,137.8731354313828,-22.025408574729376,-22.457065198111252,-22.145833214297372,-22.000187478487806,-0.06767986108951618,-0.24355212272436333,
131,2020rmv,0.2621,-21.86254208591386,0.21707677897394434,0.006299133810496458,76.41102619790601,126.5557621402876,,-21.988512622058476,-21.532340877019244,-21.438675470979156,-0.12597053614461728,-0.33020120889461424,
132,2020tcw,0.064,-21.09091077297132,0.2574930476908037,0.03317310627088705,25.49181172108184,150.11844680193323,,-21.353351669645384,-20.53572475670269,,-0.26244089667406456,-0.5551860162686282,
133,2020uew,0.22367,-21.98314502677723,0.8396032102393406,0.013489205118942579,40.63679537559716,130.53031241859077,,-21.87602086980224,-21.78627771423463,,0.10712415697499011,-0.19686731254260081,
134,2020vpg,0.257,-20.221416854365653,0.21795752008195318,0.011743656262064757,58.739551661377305,127.06923420625057,,-19.61958807985266,-20.42418950829144,,0.6018287745129918,0.2027726539257877,
135,2020wfh,0.33,-22.089727913092187,0.7724791430628375,0.0415427428052718,22.09290349160153,120.0947574415466,,-22.008405984613628,,,0.0813219284785589,,
136,2020wnt,0.032,-20.578767525257398,0.995539980885246,0.013102984363250582,36.50313263247077,154.77328236168313,-19.565071423808654,-20.58360620912319,-20.447229478536887,-20.29313067453081,-0.004838683865791893,-0.13153804672051095,
137,2020xga,0.44,-22.83945748815302,0.19025875190487165,0.037414345666250085,24.06773211567573,69.5871385083693,,-22.799070717888235,-22.362831102806858,-21.697663898765217,0.0403867702647851,-0.47662638534616164,
138,2020xgd,0.454,-22.351723040590667,4.3338169621847245,0.05166404088812935,21.763298223133607,109.85283865010797,,-22.415373920683418,-22.210593582521355,-22.036199281809544,-0.06365088009275155,-0.14112945806931165,
139,2020xkv,0.241,-20.639635278720778,0.22076760897906136,0.003099310297783235,117.77951938891333,128.70751603324493,,-20.0143647646939,-20.76720913871134,,0.6252705140268766,0.12757385999056226,
140,2020zbf,0.35,,,,,,,,,,,,
141,2020znr,0.1,-21.24914077825212,0.24906600249365013,0.005586572193599907,112.32876712328685,145.20547945205178,,-21.515188227662566,-21.08268783999412,-20.777915222319294,-0.266047449410447,-0.16645293825800067,
142,2020zzb,0.1659,-20.335283292588613,0.23498808023245146,0.013492084640625072,47.17385710609829,122.13505469934542,,-20.296945162478746,-20.35463216581078,,0.03833813010986731,0.019348873222167384,
143,2021bnw,0.098,-20.82086709203492,0.24951967462933983,0.0103886227414677,70.67644783791066,145.4699703071557,,-21.011630524562353,-20.683317577931653,,-0.190763432527433,-0.13754951410326655,
144,2021een,0.16,-22.213887207854892,0.2361832782267372,0.030532463693710477,27.27916863485885,137.6948512045319,,-21.902211566276765,,,0.31167564157812677,,
145,2021ejo,0.44,-22.27242721654988,0.19025875190487165,0.008644865691101187,86.85312024353051,110.92085235920624,,-22.305985596939426,,,-0.03355838038954673,,
146,2021ek,0.193,-21.184016241218046,0.2296501280327034,0.04607545211710141,17.05152200621934,133.88602464145595,,-21.43156682304939,-21.0330843987196,,-0.24755058183134437,-0.15093184249844782,
147,2021fpl,0.121,-21.495585136915395,0.24440018085906795,0.007686760858141384,53.09593929099481,142.4853054391231,,-21.14711547813068,-21.563016608969708,,0.34846965878471536,0.06743147205431299,
148,2021gtr,0.303,-21.243962613454485,1.9449321376377342,0.01055022439446213,52.61829918312782,122.5832904046485,,-20.874382888310826,-20.912284626002645,,0.3695797251436588,-0.3316779874518403,
149,2021hpc,0.24,-20.75293176484026,0.22094564737339933,0.007850365292060506,94.78568272204997,128.81131241714272,,-20.582851795990493,-20.604414776594705,,0.17007996884976606,-0.1485169882455537,
150,2021hpx,0.213,-21.98287872085539,0.22586364611955081,0.02787646351131615,28.571751233778276,131.67850568611456,,-22.05728824648274,-21.79350453307438,,-0.07440952562735248,-0.18937418778100934,
151,2021kty,0.159,-20.346942283391474,0.23638706017516406,0.019671109387730888,53.30528206885602,137.81365608046332,,-20.566744876476648,,,-0.21980259308517347,,
