# z, f_OH+0.2, f_OH-0.2, f_Fe_mixed+0.1, f_Fe_mixed-0.1 (Z_cutoff_OH=0.6; Z_cutoff_Fe=0.2)
2.160000000000000142e+00,3.281890709976522658e-01,1.451835038443132775e-01,4.306832803333832671e-01,1.378275254780485237e-01
2.219999999999999751e+00,3.398944869518034095e-01,1.526101917938320618e-01,4.454028181442565848e-01,1.463552216437244147e-01
2.279999999999999805e+00,3.520732103457341333e-01,1.604721434429416949e-01,4.604455556109505188e-01,1.553552754146861337e-01
2.339999999999999858e+00,3.647461238805148609e-01,1.687955098209846794e-01,4.758360474397158590e-01,1.648555341915382555e-01
2.399999999999999911e+00,3.779232743731876787e-01,1.776024491908704261e-01,4.915846341428087296e-01,1.748800018716721583e-01
2.459999999999999964e+00,3.916011120249939248e-01,1.869094539930805376e-01,5.076839829243704472e-01,1.854469304220211501e-01
2.520000000000000018e+00,4.057605836679084033e-01,1.967258992331848699e-01,5.241068516433083913e-01,1.965671361494095437e-01
2.580000000000000071e+00,4.203668479188059637e-01,2.070533005144569449e-01,5.408061052800043900e-01,2.082429657650712862e-01
2.639999999999999680e+00,4.353705184781008208e-01,2.178852458915396528e-01,5.577190790400643472e-01,2.204679838355024790e-01
2.699999999999999734e+00,4.507109848750062708e-01,2.292084224251743352e-01,5.747608365703307243e-01,2.332278098144336398e-01
2.759999999999999787e+00,4.663212652142284531e-01,2.410045081363072217e-01,5.918535784385727805e-01,2.465019401329305859e-01
2.819999999999999840e+00,4.821337828720629881e-01,2.532527957273437158e-01,6.089112816360919833e-01,2.602663448300227000e-01
2.879999999999999893e+00,4.980854789365964375e-01,2.659328662248440778e-01,6.258579159395121216e-01,2.744962881524375953e-01
2.939999999999999947e+00,5.141226299885292006e-01,2.790270016163240996e-01,6.426305395418960842e-01,2.891688804780865873e-01
3.000000000000000000e+00,5.302024636993306617e-01,2.925215062984810044e-01,6.591813203176772884e-01,3.042645721276619475e-01
3.060000000000000053e+00,5.462932966080853436e-01,3.064070469899779492e-01,6.754770979822344312e-01,3.197676288873015360e-01
3.120000000000000107e+00,5.623721595416780739e-01,3.206779361105584480e-01,6.914965940586309534e-01,3.356654715994572546e-01
3.179999999999999716e+00,5.784230582595989434e-01,3.353309044155514673e-01,7.072267941291654481e-01,3.519475086320083546e-01
3.239999999999999769e+00,5.944334165774629586e-01,3.503637665537019941e-01,7.226594837686075579e-01,3.686036667130396793e-01
3.299999999999999822e+00,6.103924629161932014e-01,3.657742642877636063e-01,7.377885900565005484e-01,3.856233065036016039e-01
3.359999999999999876e+00,6.262897988439721786e-01,3.815592355938733915e-01,7.526084794134925149e-01,4.029943082529229836e-01
3.419999999999999929e+00,6.421145350954142739e-01,3.977140156465859833e-01,7.671129287874142166e-01,4.207024715024375583e-01
3.479999999999999982e+00,6.578547436086493727e-01,4.142319631356381482e-01,7.812945176866878949e-01,4.387310540302914452e-01
3.540000000000000036e+00,6.734970426087297790e-01,4.311040436949604704e-01,7.951442124588148364e-01,4.570603808262349577e-01
3.599999999999999645e+00,6.890262964494388020e-01,4.483184524516937164e-01,8.086511226608652514e-01,4.756675336973001933e-01
3.659999999999999698e+00,7.044253884321045600e-01,4.658602711225483528e-01,8.218024027471225734e-01,4.945261012395636424e-01
3.719999999999999751e+00,7.196750893346789413e-01,4.837111569982920356e-01,8.345771399858602502e-01,5.136059783693639469e-01
3.779999999999999805e+00,7.347540164113377514e-01,5.018490987998321939e-01,8.469770036534340907e-01,5.328732790500052552e-01
3.839999999999999858e+00,7.496386602791555998e-01,5.202482141855340192e-01,8.589666966570644879e-01,5.522903323260432984e-01
3.899999999999999911e+00,7.643035333112778718e-01,5.388786189168629503e-01,8.705291492280406995e-01,5.718157841548704434e-01
3.959999999999999964e+00,7.787213084970855403e-01,5.577063729945253012e-01,8.816478199252680836e-01,5.914047507163758821e-01
4.019999999999999574e+00,7.928632072213925852e-01,5.766934962640751783e-01,8.923009402827379866e-01,6.110092218345809512e-01
4.080000000000000071e+00,8.066992559539017948e-01,5.957980753130933671e-01,9.024683248604843389e-01,6.305783550142332050e-01
4.139999999999999680e+00,8.201987302067609287e-01,6.149744438289456161e-01,9.121306726685008970e-01,6.500590241742265629e-01
4.200000000000000178e+00,8.333305926565522936e-01,6.341734584312124223e-01,9.212702911370100889e-01,6.693963847583164206e-01
4.259999999999999787e+00,8.460639897120335595e-01,6.533428544595312193e-01,9.298717056503407186e-01,6.885345078640636718e-01
4.320000000000000284e+00,8.583687617206554599e-01,6.724276845746202103e-01,9.379222806335050233e-01,7.074170632026351990e-01
4.379999999999999893e+00,8.702159761542170857e-01,6.913708344499136516e-01,9.454128029215771445e-01,7.259880201332081784e-01
4.439999999999999503e+00,8.815784403263133839e-01,7.101136096320946889e-01,9.523379697520930609e-01,7.441923458362711408e-01
4.500000000000000000e+00,8.924312278364907591e-01,7.285963828610918513e-01,9.586968346950759390e-01,7.619766849102871387e-01
4.559999999999999609e+00,9.027521553673621968e-01,7.467592916235427092e-01,9.644930870044566840e-01,7.792899834254528590e-01
4.620000000000000107e+00,9.125222291949144360e-01,7.645429757120912884e-01,9.697352386487384512e-01,7.960840594689654326e-01
4.679999999999999716e+00,9.217260400295785860e-01,7.818893374553957942e-01,9.744367179176962601e-01,8.123140806374142819e-01
4.740000000000000213e+00,9.303520995708727259e-01,7.987423092390918411e-01,9.786157031669363571e-01,8.279389790879269073e-01
4.799999999999999822e+00,9.383931011076924733e-01,8.150486170140818221e-01,9.822948752897958657e-01,8.429217729694834516e-01
4.859999999999999432e+00,9.458461088196296052e-01,8.307585167196103182e-01,9.855011370122764847e-01,8.572298329757098712e-01
4.919999999999999929e+00,9.527126614650730518e-01,8.458264923218209441e-01,9.882649397160956362e-01,8.708350881863656801e-01
4.979999999999999538e+00,9.589987920256296539e-01,8.602118978794139892e-01,9.906197562573760829e-01,8.837142026452956545e-01
5.040000000000000036e+00,9.647149600112038259e-01,8.738795284112979012e-01,9.926012984118179894e-01,8.958487333157030275e-01
5.099999999999999645e+00,9.698758988260640646e-01,8.868001070584881074e-01,9.942466853002055460e-01,9.072252893564276555e-01
5.160000000000000142e+00,9.745003808470307227e-01,8.989506765718300318e-01,9.955936589699534434e-01,9.178356734212222978e-01
5.219999999999999751e+00,9.786109051780508272e-01,9.103148861535752534e-01,9.966796965477844328e-01,9.276770324741395735e-01
5.279999999999999361e+00,9.822333154393381172e-01,9.208831664286106777e-01,9.975412090915690699e-01,9.367519632968757115e-01
5.339999999999999858e+00,9.853963558444942539e-01,9.306527882401425256e-01,9.982128087186867837e-01,9.450685714162072593e-01
5.399999999999999467e+00,9.881311754757897692e-01,9.396278046044628240e-01,9.987266773607905712e-01,9.526404512419803794e-01
5.459999999999999964e+00,9.904707918932361688e-01,9.478188760113431810e-01,9.991120689191785864e-01,9.594865574721124224e-01
5.519999999999999574e+00,9.924495259277482662e-01,9.552429841050471548e-01,9.993949610409975648e-01,9.656309734195511751e-01
5.580000000000000071e+00,9.941024202095107842e-01,9.619230401692062671e-01,9.995978755333452259e-01,9.711025483845131534e-01
5.639999999999999680e+00,9.954646545716706596e-01,9.678873968248198345e-01,9.997398473747612924e-01,9.759344308265713863e-01
5.700000000000000178e+00,9.965709714411564724e-01,9.731692722919692562e-01,9.998365477875433838e-01,9.801635025985186989e-01
5.759999999999999787e+00,9.974551240217300885e-01,9.778060894879369025e-01,9.999005223952441845e-01,9.838297287184145645e-01
5.819999999999999396e+00,9.981493581420992633e-01,9.818387046445001820e-01,9.999415289269103502e-01,9.869754164452539946e-01
5.879999999999999893e+00,9.986839347539181455e-01,9.853104153162122181e-01,9.999669179774404171e-01,9.896443211433475495e-01
5.939999999999999503e+00,9.990866966644161851e-01,9.882654558199915895e-01,9.999820494724217523e-01,9.918804206575331239e-01
6.000000000000000000e+00,9.993826948938763222e-01,9.907465141506637263e-01,9.999906968490729353e-01,9.937261016156430093e-01
