object_id,mjd,mag,mag_err,UL,filter,System,detected
2007bi,54219.17,18.4649,0.08,False,R,Vega,1
2007bi,54221.18,18.4049,0.08,False,R,Vega,1
2007bi,54221.19,18.5249,0.08,False,R,Vega,1
2007bi,54221.19,18.7949,0.08,False,R,Vega,1
2007bi,54222.8,17.9325,0.04,False,I,Vega,1
2007bi,54222.8,18.2949,0.02,False,R,Vega,1
2007bi,54222.8,18.5286,0.04,False,V,Vega,1
2007bi,54222.8,18.9759,0.07,False,B,Vega,1
2007bi,54224.23,18.3849,0.08,False,R,Vega,1
2007bi,54224.23,18.4049,0.08,False,R,Vega,1
2007bi,54224.23,18.4249,0.08,False,R,Vega,1
2007bi,54225.5,17.9225,0.12,False,I,Vega,1
2007bi,54225.5,18.3549,0.04,False,R,Vega,1
2007bi,54225.5,18.5786,0.03,False,V,Vega,1
2007bi,54225.5,18.9359,0.03,False,B,Vega,1
2007bi,54227.22,18.4249,0.08,False,R,Vega,1
2007bi,54227.22,18.4549,0.08,False,R,Vega,1
2007bi,54227.22,18.4649,0.08,False,R,Vega,1
2007bi,54229.2,18.3449,0.08,False,R,Vega,1
2007bi,54229.2,18.3549,0.08,False,R,Vega,1
2007bi,54232.5,18.0625,0.05,False,I,Vega,1
2007bi,54232.5,18.4549,0.02,False,R,Vega,1
2007bi,54232.5,18.6186,0.02,False,V,Vega,1
2007bi,54232.5,19.1059,0.02,False,B,Vega,1
2007bi,54233.27,18.5749,0.07,False,R,Vega,1
2007bi,54233.5,18.5149,0.03,False,R,Vega,1
2007bi,54233.5,18.7586,0.03,False,V,Vega,1
2007bi,54233.5,19.1759,0.03,False,B,Vega,1
2007bi,54234.16,18.4749,0.08,False,R,Vega,1
2007bi,54234.16,18.5449,0.08,False,R,Vega,1
2007bi,54234.19,18.4949,0.08,False,R,Vega,1
2007bi,54234.2,18.5049,0.08,False,R,Vega,1
2007bi,54234.2,18.4549,0.08,False,R,Vega,1
2007bi,54234.2,18.5449,0.08,False,R,Vega,1
2007bi,54234.2,18.5349,0.08,False,R,Vega,1
2007bi,54234.21,18.4849,0.08,False,R,Vega,1
2007bi,54234.21,18.4949,0.08,False,R,Vega,1
2007bi,54234.21,18.5049,0.08,False,R,Vega,1
2007bi,54234.21,18.5249,0.08,False,R,Vega,1
2007bi,54234.21,18.5449,0.08,False,R,Vega,1
2007bi,54234.22,18.4649,0.08,False,R,Vega,1
2007bi,54234.22,18.4949,0.08,False,R,Vega,1
2007bi,54234.22,18.5249,0.08,False,R,Vega,1
2007bi,54234.22,18.4849,0.08,False,R,Vega,1
2007bi,54234.22,18.5349,0.08,False,R,Vega,1
2007bi,54234.23,18.4349,0.08,False,R,Vega,1
2007bi,54234.23,18.4649,0.08,False,R,Vega,1
2007bi,54234.23,18.4949,0.08,False,R,Vega,1
2007bi,54234.23,18.5149,0.08,False,R,Vega,1
2007bi,54234.23,18.5349,0.08,False,R,Vega,1
2007bi,54234.24,18.5049,0.08,False,R,Vega,1
2007bi,54234.24,18.5249,0.08,False,R,Vega,1
2007bi,54234.24,18.5349,0.08,False,R,Vega,1
2007bi,54234.24,18.5549,0.08,False,R,Vega,1
2007bi,54234.24,18.6249,0.08,False,R,Vega,1
2007bi,54238.8,18.1625,0.07,False,I,Vega,1
2007bi,54238.8,18.4849,0.04,False,R,Vega,1
2007bi,54238.8,18.6886,0.03,False,V,Vega,1
2007bi,54238.8,19.1359,0.04,False,B,Vega,1
2007bi,54242.2,18.7749,0.2,False,R,Vega,1
2007bi,54251.4,18.4425,0.12,False,I,Vega,1
2007bi,54251.4,18.8049,0.14,False,R,Vega,1
2007bi,54251.4,18.8886,0.1,False,V,Vega,1
2007bi,54251.4,19.5759,0.17,False,B,Vega,1
2007bi,54252.17,18.9149,0.08,False,R,Vega,1
2007bi,54252.17,18.9249,0.08,False,R,Vega,1
2007bi,54260.19,19.1349,0.08,False,R,Vega,1
2007bi,54260.19,19.1949,0.08,False,R,Vega,1
2007bi,54268.21,19.3249,0.08,False,R,Vega,1
2007bi,54268.21,19.4149,0.08,False,R,Vega,1
2007bi,54270.2,19.3449,0.08,False,R,Vega,1
2007bi,54270.2,19.3749,0.08,False,R,Vega,1
2007bi,54272.18,19.3949,0.08,False,R,Vega,1
2007bi,54272.19,19.3549,0.08,False,R,Vega,1
2007bi,54277.18,19.4049,0.08,False,R,Vega,1
2007bi,54277.18,19.4749,0.08,False,R,Vega,1
2007bi,54280.18,19.3349,0.08,False,R,Vega,1
2007bi,54284.26,19.2649,0.08,False,R,Vega,1
2007bi,54284.26,19.4549,0.08,False,R,Vega,1
2007bi,54287.21,19.3049,0.08,False,R,Vega,1
2007bi,54287.21,19.3849,0.08,False,R,Vega,1
2007bi,54288.4,18.7625,0.09,False,I,Vega,1
2007bi,54288.4,19.6086,0.03,False,V,Vega,1
2007bi,54288.4,20.3359,0.02,False,B,Vega,1
2007bi,54290.19,19.3149,0.08,False,R,Vega,1
2007bi,54290.19,19.3749,0.08,False,R,Vega,1
2007bi,54293.21,19.3349,0.08,False,R,Vega,1
2007bi,54293.21,19.3549,0.08,False,R,Vega,1
2007bi,54297.2,19.3049,0.08,False,R,Vega,1
2007bi,54297.2,19.3549,0.08,False,R,Vega,1
2007bi,54305.17,19.4949,0.08,False,R,Vega,1
2007bi,54305.17,19.5449,0.08,False,R,Vega,1
2007bi,54312.19,19.7349,0.08,False,R,Vega,1
2007bi,54312.19,19.7949,0.08,False,R,Vega,1
2007bi,54315.16,19.3949,0.08,False,R,Vega,1
2007bi,54315.16,19.5649,0.08,False,R,Vega,1
2007bi,54323.5,19.0225,0.11,False,I,Vega,1
2007bi,54323.5,19.5849,0.08,False,R,Vega,1
2007bi,54323.5,19.8686,0.12,False,V,Vega,1
2007bi,54323.5,20.6359,0.07,False,B,Vega,1
2007bi,54449.52,20.8049,0.47,False,R,Vega,1
2007bi,54496.5,21.1749,0.5,False,R,Vega,1
2007bi,54565.7,21.8525,0.07,False,I,Vega,1
2007bi,54565.7,22.1749,0.22,False,R,Vega,1
2007bi,54565.7,22.4959,,True,B,Vega,0
2007bi,54565.7,22.7486,0.24,False,V,Vega,1
2007bi,54683.5,23.2649,0.6,False,R,Vega,1
2007bi,54950.6,22.6059,,True,B,Vega,0
2007bi,54950.6,22.1625,,True,I,Vega,0
2007bi,54950.6,22.5449,,True,R,Vega,0
2007bi,54950.6,22.8286,,True,V,Vega,0
2009cb,54910.417,19.71,0.11,False,g,AB,1
2009cb,54915.164,19.85,0.14,False,g,AB,1
2009cb,54915.244,19.72,0.12,False,g,AB,1
2009cb,54918.197,20.13,0.11,False,r,AB,1
2009cb,54918.199,19.8,0.12,False,i,AB,1
2009cb,54918.21,20.19,0.15,False,g,AB,1
2009cb,54919.195,20.19,0.12,False,r,AB,1
2009cb,54919.197,19.86,0.13,False,i,AB,1
2009cb,54920.235,20.38,0.22,False,r,AB,1
2009cb,54921.206,20.85,0.27,False,g,AB,1
2009cb,54921.248,20.29,0.13,False,r,AB,1
2009cb,54921.249,19.91,0.13,False,i,AB,1
2009cb,54921.294,20.37,0.16,False,g,AB,1
2009cb,54922.186,20.32,0.19,False,r,AB,1
2009cb,54922.187,19.89,0.18,False,i,AB,1
2009cb,54923.199,20.77,0.25,False,g,AB,1
2009cb,54923.283,20.4,0.13,False,r,AB,1
2009cb,54923.285,19.99,0.14,False,i,AB,1
2009cb,54923.286,20.7,0.22,False,g,AB,1
2009cb,54925.376,20.47,0.26,False,r,AB,1
2009cb,54925.377,20.37,0.28,False,i,AB,1
2009cb,54926.214,20.82,0.22,False,r,AB,1
2009cb,54926.215,20.25,0.19,False,i,AB,1
2009cb,54927.223,20.04,0.21,False,i,AB,1
2009cb,54928.297,20.72,0.22,False,r,AB,1
2009cb,54928.299,20.39,0.21,False,i,AB,1
2009cb,54934.333,21.42,0.27,False,r,AB,1
2009cb,54934.335,20.68,0.21,False,i,AB,1
2009cb,54935.427,20.51,0.34,False,i,AB,1
2009cb,54938.202,21.39,0.24,False,r,AB,1
2009cb,54938.204,21.05,0.25,False,i,AB,1
2009jh,55010.633,21.6465,0.35,False,R,Vega,1
2009jh,55021.255,20.59,0.27,False,r,AB,1
2009jh,55021.277,20.5565,0.23,False,R,Vega,1
2009jh,55034.21,19.83,0.13,False,r,AB,1
2009jh,55034.234,19.9565,0.08,False,R,Vega,1
2009jh,55034.308,20.03,0.19,False,r,AB,1
2009jh,55050.185,19.13,0.12,False,r,AB,1
2009jh,55050.199,19.2265,0.08,False,R,Vega,1
2009jh,55050.268,19.21,0.19,False,r,AB,1
2009jh,55072.574,22.04,0.26,False,UVM2,AB,1
2009jh,55072.578,20.86,0.14,False,UVW1,AB,1
2009jh,55072.581,19.5,0.09,False,U,AB,1
2009jh,55072.583,22.85,0.33,False,UVW2,AB,1
