cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,414747,0,0.0,3.8,3.9,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,414747,35,8.438879606121322e-05,3.8,3.9,1.4263708121837765e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,414747,3,7.233325376675419e-06,3.8,3.9,4.176147249561828e-06
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,414747,2,4.822216917783613e-06,3.8,3.9,3.4098140614560235e-06
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,414747,1554,0.0037468625451178,3.8,3.9,9.48696077570749e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,414747,0,0.0,3.8,3.9,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,403363,6,1.487493895077139e-05,3.9,4.0,6.072623231952949e-06
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,403363,1,2.4791564917952315e-06,3.9,4.0,2.4791534186848716e-06
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,403363,2,4.958312983590463e-06,3.9,4.0,3.5060480418680322e-06
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,403363,999,0.0024766773353034,3.9,4.0,7.826150854650578e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,403363,0,0.0,3.9,4.0,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,403363,18,4.462481685231417e-05,3.9,4.0,1.051793551349866e-05
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,403363,5,1.2395782458976158e-05,3.9,4.0,5.5435280840105195e-06
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,403363,4,9.916625967180926e-06,3.9,4.0,4.95828839866187e-06
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,403363,1066,0.0026427808202537,3.9,4.0,8.083657636169238e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,403363,0,0.0,3.9,4.0,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,389651,5,1.2831995811636568e-05,4.0,4.1,5.738606165122904e-06
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,389651,0,0.0,4.0,4.1,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,389651,1,2.5663991623273133e-06,4.0,4.1,2.5663958691228704e-06
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,389651,775,0.0019889593508036,4.0,4.1,7.137444249291127e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,389651,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,389651,5,1.2831995811636568e-05,4.0,4.1,5.738606165122904e-06
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,389651,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,389651,0,0.0,4.0,4.1,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,389651,877,0.002250732065361,4.0,4.1,7.591624355536401e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,389651,0,0.0,4.0,4.1,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,378882,509,0.0013434261854614,4.1,4.2,5.950630727788346e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,378882,1,2.639344175759207e-06,4.1,4.2,2.63934069268807e-06
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,378882,641,0.0016918196166616,4.1,4.2,6.676630721600398e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,378882,0,0.0,4.1,4.2,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,364800,378,0.0010361842105263,4.2,4.3,5.326794578607262e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,364800,412,0.0011293859649122,4.2,4.3,5.560942400329491e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,364800,0,0.0,4.2,4.3,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,351171,183,0.0005211136454889,4.3,4.4,3.85117906996426e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,351171,300,0.0008542846647359,4.3,4.4,4.930107603625329e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,351171,0,0.0,4.3,4.4,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,336839,126,0.0003740659484204,4.4,4.5,3.331820995794236e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,336839,156,0.0004631292694729,4.4,4.5,3.7071430031817133e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,336839,0,0.0,4.4,4.5,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,323902,57,0.0001759791541886,4.5,4.6,2.3306957349145054e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,323902,72,0.0002222894579224,4.5,4.6,2.6194152019818212e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,323902,0,0.0,4.5,4.6,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,309696,31,0.000100098160777,4.6,4.7,1.7977260585766562e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,309696,41,0.0001323878900599,4.6,4.7,2.0674146179961384e-05
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,309696,0,0.0,4.6,4.7,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,295752,14,4.7336957991830993e-05,4.7,4.8,1.2651034739871971e-05
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,295752,0,0.0,4.7,4.8,0.0
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,295752,12,4.057453542156942e-05,4.7,4.8,1.171262184961735e-05
