z_lo,z_hi,n_events,efficiency_Detect,efficiency_Characterize,efficiency_Villar,efficiency_ELAsTiCC,n_success_Detect,n_success_Characterize,n_success_Villar,n_success_ELAsTiCC,sigma_Detect,sigma_Characterize,sigma_Villar,sigma_ELAsTiCC
2.3,2.4,431106,0.0239732223629455,0.0155854940548264,0.0109369853353931,0.0752483147996084,10335,6719,4715,32440,0.0002329710943016,0.0001886501937655,0.0001584049549353,0.0004017620590962
2.4,2.5,444789,0.0182266198129899,0.0117808668829489,0.0081993934202509,0.0600419524763427,8107,5240,3647,26706,0.0002005772508495,0.0001617849929391,0.0001352153598218,0.000356208779487
2.5,2.6,456540,0.0141017216454198,0.008785648574057,0.0062491786042844,0.0482411179743286,6438,4011,2853,22024,0.000174506941053,0.000138111959573,0.0001166301412673,0.0003171266456707
2.6,2.7,466267,0.0111180932813173,0.0066013678857821,0.0047290500936158,0.0394838150673326,5184,3078,2205,18410,0.0001535571462404,0.000118593642209,0.0001004708974336,0.0002851967410218
2.7,2.8,474213,0.0086691001722854,0.0052149561483974,0.003770457579189,0.0320404543949659,4111,2473,1788,15194,0.0001346200056935,0.0001045931460498,8.900000066144525e-05,0.0002557356119554
2.8,2.9,478375,0.0069318003658217,0.0040407629997386,0.0029161222889992,0.0265189443428272,3316,1933,1395,12686,0.0001199577532942,9.172088440334904e-05,7.7962269955057e-05,0.000232304504192
2.9,3.0,480620,0.0055241146851982,0.0031792268320086,0.0022325329782364,0.0220548458241438,2655,1528,1073,10600,0.0001069122702787,8.120230886855699e-05,6.807892533503435e-05,0.0002118401830619
3.0,3.1,479029,0.0045425224777623,0.0025363808871696,0.0017431094985898,0.0178068551173311,2176,1215,835,8530,9.715809616051286e-05,7.267329728637236e-05,6.0270194087550994e-05,0.0001910782076688
3.1,3.2,477334,0.0033959449777304,0.0017283495414112,0.0010726242002455,0.014128471887609,1621,825,512,6744,8.420356181606179e-05,6.012138453955033e-05,4.737831033306386e-05,0.0001708230898807
3.2,3.3,470555,0.0025438046562038,0.0012198361509281,0.0007310516305214,0.0113270499729043,1197,574,344,5330,7.343170274201189e-05,5.088391376990536e-05,3.940125226079043e-05,0.0001542693103582
3.3,3.4,465005,0.001924710486984,0.0007806367673465,0.0004258018730981,0.0099869893872108,895,363,198,4644,6.427403229501439e-05,4.095680878138484e-05,3.0253978298674543e-05,0.0001458172601906
3.4,3.5,456959,0.0012473766793082,0.0004179806065752,0.0002297799146094,0.0083180329088605,570,191,105,3801,5.221426379880136e-05,3.023769387571468e-05,2.242164707684348e-05,0.0001343562604107
3.5,3.6,448318,0.0008319987151976,0.0002208253962589,0.0001070668587921,0.0068232816884443,373,99,48,3059,4.3061335841784334e-05,2.219133676973653e-05,1.5452942620786724e-05,0.0001229466861733
3.6,3.7,438789,0.0004580789399916,9.571798746094364e-05,5.24169931333739e-05,0.0057476372470595,201,42,23,2522,3.230299600009301e-05,1.4768899241450986e-05,1.0929412155116856e-05,0.0001141208835137
3.7,3.8,427782,0.0003085683829614,5.1428063826902486e-05,2.337639264859204e-05,0.0046355386622158,132,22,10,1983,2.6853286407344573e-05,1.096421810354848e-05,7.392178022053866e-06,0.0001038555992078
3.8,3.9,414747,8.438879606121322e-05,7.233325376675419e-06,4.822216917783613e-06,0.0037468625451178,35,3,2,1554,1.4263708121837763e-05,4.176147249561828e-06,3.4098140614560235e-06,9.48696077570749e-05
3.9,4.0,403363,4.462481685231417e-05,1.2395782458976158e-05,9.916625967180926e-06,0.0026427808202537,18,5,4,1066,1.051793551349866e-05,5.54352808401052e-06,4.95828839866187e-06,8.083657636169238e-05
4.0,4.1,389651,1.2831995811636568e-05,0.0,0.0,0.002250732065361,5,0,0,877,5.738606165122904e-06,0.0,0.0,7.591624355536401e-05
4.1,4.2,378882,2.639344175759207e-06,0.0,0.0,0.0016918196166616,1,0,0,641,2.63934069268807e-06,0.0,0.0,6.676630721600398e-05
4.2,4.3,364800,0.0,0.0,0.0,0.0011293859649122,0,0,0,412,0.0,0.0,0.0,5.560942400329491e-05
4.3,4.4,351171,0.0,0.0,0.0,0.0008542846647359,0,0,0,300,0.0,0.0,0.0,4.930107603625329e-05
4.4,4.5,336839,0.0,0.0,0.0,0.0004631292694729,0,0,0,156,0.0,0.0,0.0,3.707143003181713e-05
4.5,4.6,323902,0.0,0.0,0.0,0.0002222894579224,0,0,0,72,0.0,0.0,0.0,2.619415201981821e-05
4.6,4.7,309696,0.0,0.0,0.0,0.0001323878900599,0,0,0,41,0.0,0.0,0.0,2.0674146179961384e-05
4.7,4.8,295752,0.0,0.0,0.0,4.057453542156942e-05,0,0,0,12,0.0,0.0,0.0,1.171262184961735e-05
4.8,4.9,283312,0.0,0.0,0.0,1.7648387643304908e-05,0,0,0,5,0.0,0.0,0.0,7.892529246609743e-06
4.9,5.0,269683,0.0,0.0,0.0,3.7080572375715193e-06,0,0,0,1,0.0,0.0,0.0,3.708050362720908e-06
