cadence,metric,n_events,n_success,efficiency,z_lo,z_hi,sigma
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,45444,0,0.0,3.2,3.3,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,42633,78,0.0018295686440081,3.3,3.4,0.0002069682642841082
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,42633,38,0.0008913283137475,3.3,3.4,0.00014452809166958045
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,42633,19,0.0004456641568737,3.3,3.4,0.0001022195841903263
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,42633,425,0.0099688035090188,3.3,3.4,0.0004811417137025097
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,42633,0,0.0,3.3,3.4,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,42633,82,0.0019233926770342,3.3,3.4,0.0002121988228811757
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,42633,30,0.0007036802476954,3.3,3.4,0.00012842863810171856
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,42633,23,0.0005394881898998,3.3,3.4,0.00011246071591384161
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,42633,425,0.0099688035090188,3.3,3.4,0.0004811417137025097
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,42633,0,0.0,3.3,3.4,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,40291,47,0.001166513613462,3.4,3.5,0.0001700542261647143
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,40291,9,0.0002233749472586,3.4,3.5,7.444999922725323e-05
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,40291,5,0.0001240971929214,3.4,3.5,5.549450816099377e-05
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,40291,304,0.0075451093296269,3.4,3.5,0.00043110606568536297
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,40291,0,0.0,3.4,3.5,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,40291,42,0.0010424164205405,3.4,3.5,0.00016076448840722198
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,40291,17,0.000421930455933,3.4,3.5,0.00010231157583399499
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,40291,7,0.00017373607009,3.4,3.5,6.566035764470727e-05
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,40291,311,0.007718845399717,3.4,3.5,0.00043600304234626974
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,40291,0,0.0,3.4,3.5,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,37541,21,0.0005593884020137,3.5,3.6,0.00012203441026645342
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,37541,3,7.991262885911404e-05,3.5,3.6,4.6135734259064254e-05
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,37541,1,2.663754295303801e-05,3.5,3.6,2.663718817132808e-05
baseline_v5.1.1_10yrs,SLSN_ELAsTiCC_Metric,37541,233,0.0062065475080578,3.5,3.6,0.00040534067753528235
baseline_v5.1.1_10yrs,SLSN_SpecTrigger_Physical_Metric,37541,0,0.0,3.5,3.6,0.0
baseline_v5.3.0_10yrs,SLSN_Detect_Physical_Metric,37541,37,0.0009855890892624,3.5,3.6,0.00016194998106481184
baseline_v5.3.0_10yrs,SLSN_Characterize_Physical_Metric,37541,11,0.0002930129724834,3.5,3.6,8.833379099415566e-05
baseline_v5.3.0_10yrs,SLSN_Villar_Physical_Metric,37541,7,0.0001864628006712,3.5,3.6,7.046974327974268e-05
baseline_v5.3.0_10yrs,SLSN_ELAsTiCC_Metric,37541,265,0.007058948882555,3.5,3.6,0.0004320945942099966
baseline_v5.3.0_10yrs,SLSN_SpecTrigger_Physical_Metric,37541,0,0.0,3.5,3.6,0.0
baseline_v5.1.1_10yrs,SLSN_Detect_Physical_Metric,35472,12,0.0003382949932341,3.6,3.7,9.764083281060137e-05
baseline_v5.1.1_10yrs,SLSN_Characterize_Physical_Metric,35472,4,0.0001127649977447,3.6,3.7,5.6379319796546276e-05
baseline_v5.1.1_10yrs,SLSN_Villar_Physical_Metric,35472,3,8.457374830852504e-05,3.6,3.7,4.882661149655149e-05
